campaign_id,campaign_name,campaign_type,target_segment,start_date,end_date,campaign_cost,users_targeted,conversions
3001,Festival Cashback Deal,Reactivation,Monthly Plan Users,2022-01-02,2022-01-10,10001.0,1001,501
3002,Summer Free Trial,Acquisition,Annual Plan Users,2022-01-03,2022-01-12,10002.0,1002,502
3003,Monsoon Upgrade Now,Retention,New Users,2022-01-04,2022-01-14,10003.0,1003,503
3004,Winter Referral Bonus,Reactivation,Premium Users,2022-01-05,2022-01-16,10004.0,1004,504
3005,New Year Watch More,Acquisition,Inactive Users,2022-01-06,2022-01-18,10005.0,1005,505
3006,Diwali Reactivate,Retention,Monthly Plan Users,2022-01-07,2022-01-20,10006.0,1006,506
3007,IPL Special Offer,Reactivation,Annual Plan Users,2022-01-08,2022-01-22,10007.0,1007,507
3008,Holiday Binge Offer,Acquisition,New Users,2022-01-09,2022-01-24,10008.0,1008,508
3009,Prime Cashback Deal,Retention,Premium Users,2022-01-10,2022-01-26,10009.0,1009,509
3010,Weekend Free Trial,Reactivation,Inactive Users,2022-01-11,2022-01-28,10010.0,1010,510
3011,Festival Upgrade Now,Acquisition,Monthly Plan Users,2022-01-12,2022-01-30,10011.0,1011,511
3012,Summer Referral Bonus,Retention,Annual Plan Users,2022-01-13,2022-02-01,10012.0,1012,512
3013,Monsoon Watch More,Reactivation,New Users,2022-01-14,2022-02-03,10013.0,1013,513
3014,Winter Reactivate,Acquisition,Premium Users,2022-01-15,2022-02-05,10014.0,1014,514
3015,New Year Special Offer,Retention,Inactive Users,2022-01-16,2022-02-07,10015.0,1015,515
3016,Diwali Binge Offer,Reactivation,Monthly Plan Users,2022-01-17,2022-02-09,10016.0,1016,516
3017,IPL Cashback Deal,Acquisition,,2022-01-18,2022-02-11,10017.0,1017,517
3018,Holiday Free Trial,Retention,New Users,2022-01-19,2022-02-13,10018.0,1018,518
3019,Prime Upgrade Now,Reactivation,Premium Users,2022-01-20,2022-02-15,10019.0,1019,519
3020,Weekend Referral Bonus,Acquisition,Inactive Users,2022-01-21,2022-02-17,10020.0,1020,520
3021,Festival Watch More,Retention,Monthly Plan Users,2022-01-22,2022-02-19,10021.0,1021,521
3022,Summer Reactivate,Reactivation,Annual Plan Users,2022-01-23,2022-02-21,10022.0,1022,522
3023,Monsoon Special Offer,Acquisition,New Users,2022-01-24,2022-02-23,10023.0,1023,523
3024,Winter Binge Offer,Retention,Premium Users,2022-01-25,2022-02-01,10024.0,1024,524
