content_id,title,content_type,genre,language,release_date,duration_minutes,content_rating,production_cost,content_status
5001,Golden Legacy,Series,Drama,Hindi,2018-01-02,21,1.1,500001.0,Removed
5002,Silent Empire,Documentary,Comedy,English,2018-01-03,22,1.2,500002.0,Upcoming
5003,Rising Dawn,Sports,Thriller,Tamil,2018-01-04,23,1.3,500003.0,available
5004,Broken Night,Movie,Romance,Kannada,2018-01-05,24,1.4,500004.0,Available
5005,Lost Warriors,Movie,action,Malayalam,2018-01-06,25,1.5,500005.0,Removed
5006,Hidden Destiny,Series,DRAMA,Telugu,2018-01-07,26,1.6,500006.0,Upcoming
5007,Sacred Journey,Documentary,Comedy,Hindi,2018-01-08,27,1.7,500007.0,available
5008,Wild Path,Sports,Horror,English,2018-01-09,28,1.8,500008.0,Available
5009,Iron Truth,Movie,Sci-Fi,Tamil,2018-01-10,29,1.9,500009.0,Removed
5010,Shadow Promise,Movie,Action,Kannada,2018-01-11,30,2.0,500010.0,Upcoming
5011,Burning Secrets,Series,Drama,Malayalam,2018-01-12,31,2.1,500011.0,available
5012,Last Chronicles,Documentary,Comedy,Telugu,2018-01-13,32,2.2,500012.0,Available
5013,First Tales,Sports,Thriller,Hindi,2018-01-14,33,2.3,500013.0,Removed
5014,Final Dreams,Movie,Romance,English,2018-01-15,34,2.4,500014.0,Upcoming
5015,Blue Valley,Movie,action,Tamil,2018-01-16,35,2.5,500015.0,available
5016,Red Mountain,Series,DRAMA,Kannada,2018-01-17,36,2.6,500016.0,Available
5017,Black River,Documentary,Comedy,,2018-01-18,37,2.7,500017.0,Removed
5018,White Sky,Sports,Horror,Telugu,2018-01-19,38,2.8,500018.0,Upcoming
5019,Crimson Ocean,Movie,Sci-Fi,Hindi,2018-01-20,39,2.9,500019.0,available
5020,Storm Horizon,Movie,Action,English,2018-01-21,40,3.0,500020.0,Available
5021,Fire Legacy,Series,Drama,Tamil,2018-01-22,41,3.1,500021.0,Removed
5022,Ice Empire,Documentary,Comedy,Kannada,2018-01-23,42,3.2,500022.0,Upcoming
5023,Steel Dawn,Sports,Thriller,Malayalam,2018-01-24,43,3.3,500023.0,available
5024,Thunder Night,Movie,Romance,Telugu,2018-01-25,44,3.4,500024.0,Available
5025,Dark Warriors,Movie,action,Hindi,2018-01-26,45,3.5,500025.0,Removed
5026,Golden Destiny,Series,DRAMA,English,2018-01-27,46,3.6,500026.0,Upcoming
5027,Silent Journey,Documentary,Comedy,Tamil,2018-01-28,47,3.7,500027.0,available
